entidad|id_entidad|id_registro|tipo_registro|tipo_acceso|id_search|word_key|id_link|link|tramite|ministerio|time_update
Ministerio de Transportes y Comunicaciones (MTC)|144|823|T|B|0|tra%20mtc|14|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=823&tipo_registro=T&tipo_acceso=B|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN (OTRAS ACTIVIDADES AERONÁUTICAS)|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN (OTRAS ACTIVIDADES AERONÁUTICAS)Ministerio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.876455
Ministerio de Transportes y Comunicaciones (MTC)|144|799|T|B|0|tra%20mtc|15|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=799&tipo_registro=T&tipo_acceso=B|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR NACIONAL O INTERNACIONAL|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR NACIONAL O INTERNACIONALMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.877454
Ministerio de Transportes y Comunicaciones (MTC)|144|790|T|B|0|tra%20mtc|16|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=790&tipo_registro=T&tipo_acceso=B|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR NACIONAL O INTERNACIONAL|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR NACIONAL O INTERNACIONALMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.878451
Ministerio de Transportes y Comunicaciones (MTC)|144|814|T|B|0|tra%20mtc|17|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=814&tipo_registro=T&tipo_acceso=B|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-TRABAJO AÉREO|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-TRABAJO AÉREOMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.879447
Ministerio de Transportes y Comunicaciones (MTC)|144|806|T|B|0|tra%20mtc|18|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=806&tipo_registro=T&tipo_acceso=B|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-TRANSPORTE AÉREO ESPECIAL|MODIFICACIÓN O RENOVACIÓN DE PERMISO DE OPERACIÓN-TRANSPORTE AÉREO ESPECIALMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.880414
Ministerio de Transportes y Comunicaciones (MTC)|144|822|T|B|0|tra%20mtc|19|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=822&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN (OTRAS ACTIVIDADES AERONÁUTICAS)|PERMISO DE OPERACIÓN (OTRAS ACTIVIDADES AERONÁUTICAS)Ministerio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.882412
Ministerio de Transportes y Comunicaciones (MTC)|144|802|T|B|0|tra%20mtc|20|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=802&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO ESPECIAL|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO ESPECIALMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.883446
Ministerio de Transportes y Comunicaciones (MTC)|144|797|T|B|0|tra%20mtc|21|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=797&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR INTERNACIONAL PARA EMPRESAS EXTRANJERAS|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR INTERNACIONAL PARA EMPRESAS EXTRANJERASMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.885435
Ministerio de Transportes y Comunicaciones (MTC)|144|795|T|B|0|tra%20mtc|22|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=795&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR INTERNACIONAL PARA EMPRESAS NACIONALES|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR INTERNACIONAL PARA EMPRESAS NACIONALESMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.886432
Ministerio de Transportes y Comunicaciones (MTC)|144|792|T|B|0|tra%20mtc|23|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=792&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR NACIONAL|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO NO REGULAR NACIONALMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.888447
Ministerio de Transportes y Comunicaciones (MTC)|144|788|T|B|0|tra%20mtc|24|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=788&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR INTERNACIONAL PARA EMPRESAS EXTRANJERAS|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR INTERNACIONAL PARA EMPRESAS EXTRANJERASMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.890455
Ministerio de Transportes y Comunicaciones (MTC)|144|785|T|B|0|tra%20mtc|25|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=785&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR INTERNACIONAL PARA EMPRESAS NACIONALES|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR INTERNACIONAL PARA EMPRESAS NACIONALESMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.891386
Ministerio de Transportes y Comunicaciones (MTC)|144|783|T|B|0|tra%20mtc|26|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=783&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR NACIONAL|PERMISO DE OPERACIÓN-SERVICIO DE TRANSPORTE AÉREO REGULAR NACIONALMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.892413
Ministerio de Transportes y Comunicaciones (MTC)|144|809|T|B|0|tra%20mtc|27|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=144&id_registro=809&tipo_registro=T&tipo_acceso=B|PERMISO DE OPERACIÓN-TRABAJO AÉREO|PERMISO DE OPERACIÓN-TRABAJO AÉREOMinisterio de Transportes y Comunicaciones (MTC)|2019-09-14 12:28:09.893412
Ministerio de Transportes y Comunicaciones (MTC)|10367|84049|T|B|0|tra%20mtc|28|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10367&id_registro=84049&tipo_registro=T&tipo_acceso=B|TRANSFERECNIA DE LA AUTORIZACIÓN O HABILITACIÓN VEHICULAR (SÓLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° 017-2009-MTC)|TRANSFERECNIA DE LA AUTORIZACIÓN O HABILITACIÓN VEHICULAR (SÓLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° 017-2009-MTC)Municipalidad Provincial de San Martín (MPSM)|2019-09-14 12:28:09.894408
Ministerio de Transportes y Comunicaciones (MTC)|10367|84058|T|B|0|tra%20mtc|29|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10367&id_registro=84058&tipo_registro=T&tipo_acceso=B|TRANSFERENCIA DE LA AUTORIZACIÓN O HABILITACIÓN VEHICULAR (SÓLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° 017-2009-MTC)|TRANSFERENCIA DE LA AUTORIZACIÓN O HABILITACIÓN VEHICULAR (SÓLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° 017-2009-MTC)Municipalidad Provincial de San Martín (MPSM)|2019-09-14 12:28:09.895404
Ministerio de Transportes y Comunicaciones (MTC)|10367|84024|T|B|0|tra%20mtc|30|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10367&id_registro=84024&tipo_registro=T&tipo_acceso=B|TRANSFERENCIA DE VEHÍCULO HABILITADO (SOLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° 017-2009-MTC) CUANDO EL ADQUIRIENTE DEL VEHÍCULO CONTINUARA PRESTANDO EL SERVICIO|TRANSFERENCIA DE VEHÍCULO HABILITADO (SOLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° 017-2009-MTC) CUANDO EL ADQUIRIENTE DEL VEHÍCULO CONTINUARA PRESTANDO EL SERVICIOMunicipalidad Provincial de San Martín (MPSM)|2019-09-14 12:28:09.896402
Ministerio de Transportes y Comunicaciones (MTC)|10367|25431|T|B|0|tra%20mtc|31|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10367&id_registro=25431&tipo_registro=T&tipo_acceso=B|TRANSFERENCIA DE VEHÍCULO HABILITADO (SOLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° N° 017-2009-MTC) CUANDO EL ADQUIRIENTE CUANDO EL ADQUIRIENTE DEL VEHÍCULO CONTINUARA PRESTANDO EL SERVICIO|TRANSFERENCIA DE VEHÍCULO HABILITADO (SOLO PARA LAS EXCEPCIONES PERMITIDAS POR EL D.S N° N° 017-2009-MTC) CUANDO EL ADQUIRIENTE CUANDO EL ADQUIRIENTE DEL VEHÍCULO CONTINUARA PRESTANDO EL SERVICIOMunicipalidad Provincial de San Martín (MPSM)|2019-09-14 12:28:09.897370
Ministerio de Transportes y Comunicaciones (MTC)|131|1539|F|B|0|tra%20mtc|34|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=131&id_registro=1539&tipo_registro=F&tipo_acceso=B|ABSOLUCIÓN DE CONSULTAS SOBRE CONCILIACIÓN EXTRAJUDICIAL|ABSOLUCIÓN DE CONSULTAS SOBRE CONCILIACIÓN EXTRAJUDICIALMinisterio de Justicia y Derechos Humanos (MINJUS)|2019-09-14 12:28:09.902389
Ministerio de Transportes y Comunicaciones (MTC)|131|1508|F|B|0|tra%20mtc|35|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=131&id_registro=1508&tipo_registro=F&tipo_acceso=B|ACREDITACIÓN DE CONCILIADOR EXTRAJUDICIAL|ACREDITACIÓN DE CONCILIADOR EXTRAJUDICIALMinisterio de Justicia y Derechos Humanos (MINJUS)|2019-09-14 12:28:09.904416
Ministerio de Transportes y Comunicaciones (MTC)|131|1509|F|B|1|tra%20mtc|2|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=131&id_registro=1509&tipo_registro=F&tipo_acceso=B|ACREDITACIÓN DE CONCILIADOR EXTRAJUDICIAL ESPECIALIZADO|ACREDITACIÓN DE CONCILIADOR EXTRAJUDICIAL ESPECIALIZADOMinisterio de Justicia y Derechos Humanos (MINJUS)|2019-09-14 12:28:13.977142
Ministerio de Transportes y Comunicaciones (MTC)|10072|1452|F|B|1|tra%20mtc|3|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10072&id_registro=1452&tipo_registro=F&tipo_acceso=B|Actualización de la Información Catastral|Actualización de la Información CatastralMunicipalidad Distrital de Puente Piedra (MDPP)|2019-09-14 12:28:13.979140
Ministerio de Transportes y Comunicaciones (MTC)|107|318|F|B|1|tra%20mtc|4|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=107&id_registro=318&tipo_registro=F&tipo_acceso=B|Actualización del documento de Identidad de Menores de edad|Actualización del documento de Identidad de Menores de edadSeguro Social de Salud (ESSALUD)|2019-09-14 12:28:13.980134
Ministerio de Transportes y Comunicaciones (MTC)|11126|1491|F|B|1|tra%20mtc|5|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=11126&id_registro=1491&tipo_registro=F&tipo_acceso=B|Anexo 1: Hoja de Variación de la Participación en el Capital|Anexo 1: Hoja de Variación de la Participación en el CapitalAgencia de Promoción de la Inversión Privada (PROINVERSION)|2019-09-14 12:28:13.981133
Ministerio de Transportes y Comunicaciones (MTC)|83|261|F|B|1|tra%20mtc|6|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=83&id_registro=261&tipo_registro=F&tipo_acceso=B|ANEXO 2 INTA-PE.01.01|ANEXO 2 INTA-PE.01.01Superintendencia Nacional de Aduanas y de Administración Tributaria (SUNAT)|2019-09-14 12:28:13.983129
Ministerio de Transportes y Comunicaciones (MTC)|83|267|F|B|1|tra%20mtc|7|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=83&id_registro=267&tipo_registro=F&tipo_acceso=B|ANEXO 2 INTA-PG.03|ANEXO 2 INTA-PG.03Superintendencia Nacional de Aduanas y de Administración Tributaria (SUNAT)|2019-09-14 12:28:13.985122
Ministerio de Transportes y Comunicaciones (MTC)|11126|1492|F|B|1|tra%20mtc|8|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=11126&id_registro=1492&tipo_registro=F&tipo_acceso=B|Anexo 2: Inversión en Bienes Físicos Ubicados Físicamente en el Territorio de la República|Anexo 2: Inversión en Bienes Físicos Ubicados Físicamente en el Territorio de la RepúblicaAgencia de Promoción de la Inversión Privada (PROINVERSION)|2019-09-14 12:28:13.987117
Ministerio de Transportes y Comunicaciones (MTC)|11126|1493|F|B|1|tra%20mtc|9|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=11126&id_registro=1493&tipo_registro=F&tipo_acceso=B|Anexo 3: Registro de Inversión Extranjera por Adquisición de Valores Bursátiles|Anexo 3: Registro de Inversión Extranjera por Adquisición de Valores BursátilesAgencia de Promoción de la Inversión Privada (PROINVERSION)|2019-09-14 12:28:13.989113
Ministerio de Transportes y Comunicaciones (MTC)|83|269|F|B|1|tra%20mtc|10|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=83&id_registro=269&tipo_registro=F&tipo_acceso=B|ANEXO 4 INTA-PG.06|ANEXO 4 INTA-PG.06Superintendencia Nacional de Aduanas y de Administración Tributaria (SUNAT)|2019-09-14 12:28:13.991108
Ministerio de Transportes y Comunicaciones (MTC)|11126|1494|F|B|1|tra%20mtc|11|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=11126&id_registro=1494&tipo_registro=F&tipo_acceso=B|Anexo 4: Registro de Inversión Extranjera para la Transferencia de Acciones|Anexo 4: Registro de Inversión Extranjera para la Transferencia de AccionesAgencia de Promoción de la Inversión Privada (PROINVERSION)|2019-09-14 12:28:13.992107
Ministerio de Transportes y Comunicaciones (MTC)|181|1020|F|B|1|tra%20mtc|12|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=181&id_registro=1020&tipo_registro=F&tipo_acceso=B|anexo N 01|anexo N 01Archivo General de la Nación (AGN)|2019-09-14 12:28:13.994103
Ministerio de Transportes y Comunicaciones (MTC)|10063|1849|F|B|1|tra%20mtc|13|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10063&id_registro=1849&tipo_registro=F&tipo_acceso=B|Anexo XIX Formato Informe de Verificación Administrativa : Conformidad de Obra - Edificación|Anexo XIX Formato Informe de Verificación Administrativa : Conformidad de Obra - EdificaciónMunicipalidad Distrital de La Victoria - Lima (MLV)|2019-09-14 12:28:13.996104
Ministerio de Transportes y Comunicaciones (MTC)|10063|1846|F|B|1|tra%20mtc|14|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10063&id_registro=1846&tipo_registro=F&tipo_acceso=B|Anexo XVI Formato Informe de Verificación Administrativa : Habilitación Urbana|Anexo XVI Formato Informe de Verificación Administrativa : Habilitación UrbanaMunicipalidad Distrital de La Victoria - Lima (MLV)|2019-09-14 12:28:13.997089
Ministerio de Transportes y Comunicaciones (MTC)|10063|1847|F|B|1|tra%20mtc|15|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10063&id_registro=1847&tipo_registro=F&tipo_acceso=B|Anexo XVII Formato Informe de Verificación Administrativa : Edificación|Anexo XVII Formato Informe de Verificación Administrativa : EdificaciónMunicipalidad Distrital de La Victoria - Lima (MLV)|2019-09-14 12:28:13.998088
Ministerio de Transportes y Comunicaciones (MTC)|10063|1848|F|B|1|tra%20mtc|16|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10063&id_registro=1848&tipo_registro=F&tipo_acceso=B|Anexo XVIII Formato Informe de Verificación Administrativa : Recepción de Obras - Habilitación Urbana|Anexo XVIII Formato Informe de Verificación Administrativa : Recepción de Obras - Habilitación UrbanaMunicipalidad Distrital de La Victoria - Lima (MLV)|2019-09-14 12:28:13.999085
Ministerio de Transportes y Comunicaciones (MTC)|131|1560|F|B|1|tra%20mtc|17|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=131&id_registro=1560&tipo_registro=F&tipo_acceso=B|AUTENTICACIÓN DE DIPLOMA DE ACREDITACIÓN DE CONCILIADOR EXTRAJUDICIAL|AUTENTICACIÓN DE DIPLOMA DE ACREDITACIÓN DE CONCILIADOR EXTRAJUDICIALMinisterio de Justicia y Derechos Humanos (MINJUS)|2019-09-14 12:28:14.000083
Ministerio de Transportes y Comunicaciones (MTC)|131|1516|F|B|1|tra%20mtc|18|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=131&id_registro=1516&tipo_registro=F&tipo_acceso=B|AUTORIZACIÓN CONTRATACIÓN CON PARIENTES|AUTORIZACIÓN CONTRATACIÓN CON PARIENTESMinisterio de Justicia y Derechos Humanos (MINJUS)|2019-09-14 12:28:14.002077
Ministerio de Transportes y Comunicaciones (MTC)|131|1504|F|B|1|tra%20mtc|19|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=131&id_registro=1504&tipo_registro=F&tipo_acceso=B|AUTORIZACIÓN DE CURSOS DE FORMACIÓN DE CONCILIADORES EXTRAJUDICIALES Y/O ESPECIALIZADOS|AUTORIZACIÓN DE CURSOS DE FORMACIÓN DE CONCILIADORES EXTRAJUDICIALES Y/O ESPECIALIZADOSMinisterio de Justicia y Derechos Humanos (MINJUS)|2019-09-14 12:28:14.004074
Ministerio de Transportes y Comunicaciones (MTC)|10072|1437|F|B|1|tra%20mtc|20|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=10072&id_registro=1437&tipo_registro=F&tipo_acceso=B|Autorización para eventos y/o espectáculos públicos no deportivos realizados en la vía pública o lugares no confinados (abiertos al público) eventuales como ferias gastronómicas, ferias artesanales, otras similares|Autorización para eventos y/o espectáculos públicos no deportivos realizados en la vía pública o lugares no confinados (abiertos al público) eventuales como ferias gastronómicas, ferias artesanales, otras similaresMunicipalidad Distrital de Puente Piedra (MDPP)|2019-09-14 12:28:14.005071
Ministerio de Transportes y Comunicaciones (MTC)|131|1534|F|B|1|tra%20mtc|21|https://www.tramites.gob.pe/buscador/psce_reg_accion.aspx?id_entidad=131&id_registro=1534&tipo_registro=F&tipo_acceso=B|CANCELACIÓN DEL BANCO DE DATOS PERSONALES DE ADMINISTRACIÓN PÚBLICA Y PRIVADA, EN EL REGISTRO NACIONAL DE PROTECCIÓN DE DATOS PERSONALES|CANCELACIÓN DEL BANCO DE DATOS PERSONALES DE ADMINISTRACIÓN PÚBLICA Y PRIVADA, EN EL REGISTRO NACIONAL DE PROTECCIÓN DE DATOS PERSONALESMinisterio de Justicia y Derechos Humanos (MINJUS)|2019-09-14 12:28:14.007069
